[0.00s -> 19.84s]  Yes, Mr. Beer.
[8649.32s -> 8656.76s]  Yes, he was one of the partners from Bond Dickinson, who had worked on Post Office work
[8656.76s -> 8659.72s]  for quite some time.
[8659.72s -> 8665.92s]  And then if we scroll down, please, to six.
[8665.92s -> 8666.92s]  Thank you.
[8666.92s -> 8669.10s]  I should just read the introduction to this.
[8669.10s -> 8673.66s]  There was then something of a general discussion around how they were going to manage the additional
[8673.66s -> 8675.22s]  complaints and resourcing.
[8675.22s -> 8679.52s]  Essentially where we got to was quite a lengthy brainstorming session.
[8679.52s -> 8686.08s]  And then six, the real worry was around the Fujitsu expert who appeared to have known
[8686.08s -> 8690.82s]  of some of the problems but not referred to them in his report or statement, even though
[8690.82s -> 8692.82s]  they could be dismissed.
[8692.82s -> 8695.60s]  There are non-disclosure issues here.
[8695.60s -> 8703.36s]  looking at replacing that expert with somebody else. And then seven, there was generally
[8703.36s -> 8712.48s]  an overall defensive air and the board were also feeling bruised. Stopping there, by this
[8712.48s -> 8722.48s]  time was it the case that the board was feeling bruised? This is 10th of July.
[8722.48s -> 8729.02s]  These are Simon's words. I don't, I certainly don't recall, well, he's reflecting a conversation
[8729.02s -> 8731.48s]  he's had with two colleagues at the post office.
[8731.48s -> 8732.48s]  Yes.
[8732.48s -> 8740.20s]  I, it's not an adjective I'd have used in respect to the Board. The Board are feeling
[8740.20s -> 8741.20s]  very frustrated.
[8741.20s -> 8743.88s]  Frustrated about what?
[8743.88s -> 8754.20s]  that the second site interim report had not, according to colleagues, had not taken account
[8754.20s -> 8759.16s]  of the post office's factual evidence against issues that were raised and criticisms made
[8759.16s -> 8766.86s]  of the post office. And secondly, that it had taken too long and was continuing to run
[8766.86s -> 8771.72s]  up budgets to levels that had not been expected.
[8771.72s -> 8773.72s]  Do you think that's what this might be a reference to?
[8773.72s -> 8775.18s]  They're feeling bruised.
[8778.44s -> 8781.64s]  I can't think what else it would be a reference to.
[8781.64s -> 8785.04s]  The board were very frustrated by
[8788.76s -> 8791.56s]  the criticisms in the second site interim report,
[8791.56s -> 8794.48s]  which at that stage, they were told,
[8796.50s -> 8798.68s]  were at least in some cases,
[8798.68s -> 8800.16s]  according to the team, unfounded,
[8800.16s -> 8804.04s]  because Second Sight hadn't had sufficient time
[8804.04s -> 8807.92s]  in preparing it to take on board the post office's evidence.
[8807.92s -> 8809.96s]  The note continues seemingly on the basis
[8809.96s -> 8813.68s]  of what your two colleagues, Susan Crichton
[8813.68s -> 8816.56s]  and Hugh Flemington said.
[8816.56s -> 8819.28s]  There are tensions between people,
[8819.28s -> 8824.72s]  and that includes Alice Perkins, the chair, Paula Venals,
[8824.72s -> 8827.32s]  and Susan Crichton.
[8827.32s -> 8829.76s]  At this time, were there tensions
[8829.76s -> 8832.84s]  between Alice Perkins, you, and Susan Crichton?
[8837.64s -> 8842.32s]  There had been some difficult conversations.
[8842.32s -> 8846.00s]  I can't remember exactly.
[8846.00s -> 8855.16s]  Alice, well, we were all frustrated by the report.
[8855.16s -> 8859.82s]  Alice felt frustrated by it.
[8859.82s -> 8865.78s]  She could not understand, and again, there's documentation on this as to why we had ended
[8865.78s -> 8871.02s]  up in the, why the business, as she put it, had ended up in the position that it had with
[8871.02s -> 8876.50s]  a report that hadn't taken account of post office's input, and conclusions seemingly
[8876.50s -> 8884.70s]  reached or suggested, to be fair to Second Psych, they said it was an interim report.
[8884.70s -> 8888.12s]  I had been challenged over that,
[8889.18s -> 8891.30s]  and there was going to be more challenge to come
[8891.30s -> 8893.70s]  a couple of days after this in a board meeting.
[8895.42s -> 8898.02s]  And I don't know what, at this stage,
[8898.02s -> 8900.54s]  I don't know what conversations had taken place
[8900.54s -> 8903.04s]  between Alice and Susan.
[8903.04s -> 8904.70s]  Certainly Susan and I
[8908.30s -> 8911.62s]  had discussed about how we were going to,
[8911.62s -> 8914.34s]  we'd had conversations about the first draft
[8914.34s -> 8920.24s]  of a second site report, which I think she went back to talk to them about and some changes
[8920.24s -> 8926.02s]  were made but nothing substantive. And it was a difficult time.
[8926.02s -> 8935.78s]  Were there tensions between you and Alice Perkins?
[8935.78s -> 8938.62s]  I don't recall that she had been critical.
[8938.62s -> 8948.42s]  I mean, Alice was a very straightforward chair, and I generally took feedback pretty well,
[8948.42s -> 8953.14s]  and again, forgive me for repeating the phrase, but there is documentation on that as well.
[8953.14s -> 8958.02s]  I'm sure she gave me some fairly straightforward feedback about why this had taken so long,
[8958.02s -> 8964.26s]  why it was over budget, why the report contained things that the post office felt were inaccurate.
[8964.26s -> 8971.42s]  minute continues, I said, that's Simon Richardson, that I thought the minister had dealt with
[8971.42s -> 8977.62s]  the questions extremely well and looked in control of the brief. Evidently, she had the
[8977.62s -> 8983.18s]  post office in to tear them off a strip for not putting someone up earlier in the day
[8983.18s -> 8988.10s]  for interviews on radio and TV. I said, my view, it was a good thing that no one was
[8988.10s -> 8994.06s]  there. It was a no-win, given the nature of the complaints, and some are sub-postmasters
[8994.06s -> 8996.54s]  who were generally reporting rather wild stories
[8996.54s -> 8997.78s]  of what had gone on.
[8997.78s -> 9000.84s]  However, I understood the political imperative
[9000.84s -> 9002.84s]  of somebody being put up.
[9002.84s -> 9004.62s]  Susan Crichton said she would pass my comments
[9004.62s -> 9006.82s]  on to the comms director.
[9006.82s -> 9009.14s]  However, I told them that my view was they need to be
[9009.14s -> 9011.42s]  much more on the offensive about this.
[9011.42s -> 9013.86s]  This was a new management team who put in place
[9013.86s -> 9015.92s]  a new independent report
[9015.92s -> 9017.72s]  and were dealing with the problems.
[9017.72s -> 9019.66s]  The chair, that's Alice Perkins,
[9019.66s -> 9022.86s]  seems to have been taken by surprise by the reaction
[9022.86s -> 9024.92s]  and the noise generated.
[9024.92s -> 9027.96s]  Paula Venals may be sensitive around some of these issues
[9027.96s -> 9033.52s]  happening on her watch as the network director.
[9033.52s -> 9036.30s]  I said I still thought there were positive messages
[9036.30s -> 9041.06s]  to deliver and people just need to get into a different mindset.
[9041.06s -> 9046.34s]  She said that Paula Venals had asked about what I knew
[9046.34s -> 9048.74s]  and she might pass on my comments to her.
[9048.74s -> 9051.02s]  I said I was happy to talk to Paula Venals
[9051.02s -> 9054.14s]  since we knew each other from another difficult project
[9054.14s -> 9055.68s]  in the days when they were a subsidiary
[9055.68s -> 9058.24s]  of the Royal Mail Group, et cetera.
[9060.74s -> 9065.74s]  In your approach to the reaction to the second site report,
[9068.04s -> 9072.46s]  were you sensitive that some of the issues it addressed
[9072.46s -> 9075.66s]  happened on your watch as network director?
[9076.82s -> 9078.12s]  No, I wasn't.
[9081.02s -> 9090.16s]  The note says that the real issue here, the real worry, was around the Fujitsu expert
[9090.16s -> 9095.52s]  who appeared to have known some of the problems and not referred to them in his report or
[9095.52s -> 9096.52s]  statement.
[9096.52s -> 9100.60s]  There are non-disclosure issues here.
[9100.60s -> 9104.52s]  Was the result of this meeting fed back to you?
[9104.52s -> 9107.36s]  I don't believe so.
[9107.36s -> 9113.44s]  Would you be surprised that members of your team were having this in-depth and frank conversation
[9113.44s -> 9118.86s]  about Gareth Jenkins being the real worry that was facing the post office after the
[9118.86s -> 9125.20s]  interim report, and yet this information not being fed back to you, nor indeed to the board?
[9125.20s -> 9127.50s]  Yes, I would be surprised at that.
[9127.50s -> 9131.78s]  How has it come about that they're having this very frank conversation with somebody
[9131.78s -> 9139.02s]  with whom you have a history, as is referred to here, Simon Richardson, and you never get
[9139.02s -> 9141.02s]  to know about it.
[9141.02s -> 9147.38s]  Oh, my history with Simon Richardson was one case that we sat on at Royal Mail Group where
[9147.38s -> 9154.58s]  we were on an appeal panel and working with him a long time ago on post office closures,
[9154.58s -> 9157.90s]  but I hardly met with Simon.
[9157.90s -> 9164.44s]  It's recorded here that she said that Paula Venals had asked about what I, that Simon
[9164.44s -> 9165.58s]  Richardson knew.
[9165.58s -> 9168.22s]  Do you know what that's a reference to?
[9168.22s -> 9169.22s]  I don't.
[9169.22s -> 9172.86s]  If you'd like to take me back up the email in case there's something there that prompts
[9172.86s -> 9173.86s]  that.
[9173.86s -> 9182.22s]  It's an attendance note, but yes, let's go back up.
[9182.22s -> 9189.28s]  It may simply be that I was asking for what Simon's view was on the work that was underway
[9189.28s -> 9196.06s]  because he was the partner for the post office or had been a partner for the post office.
[9196.06s -> 9201.86s]  Again asking the general question, how is it that two relatively senior members of your
[9201.86s -> 9207.30s]  team, Susan Crichton, the general counsel no less, were having this frank conversation
[9207.30s -> 9215.04s]  with a solicitor, and the outcome of it never reached you or the board, if your evidence
[9215.04s -> 9229.10s]  is correct.
[9229.10s -> 9240.74s]  To be honest, I don't know whether Susan, as you've heard previously, it was not a process
[9240.74s -> 9248.14s]  in the post office, which was wrong, for advice, if this is considered advice, which in a sense
[9248.14s -> 9253.28s]  it is, to be fed back, and the reason I was looking down the list of numbered points is
[9253.28s -> 9256.98s]  in case any of it was fed back and some wasn't.
[9256.98s -> 9264.30s]  Is it every day of the week, though, in the post office that it is told that the safety
[9264.30s -> 9273.16s]  of its convictions, its criminal convictions, may be called into question by unreliable evidence
[9273.16s -> 9274.16s]  given by an expert witness?
[9274.16s -> 9279.08s]  No, Mr. Beer, I agree. It should have been shared.
[9279.08s -> 9285.64s]  You are explaining perhaps why it wasn't shared because of a convention of not giving
[9285.64s -> 9288.88s]  counsel's advice or solicitor's advice, documents to the board.
[9288.88s -> 9289.88s]  Yes, yes.
[9289.88s -> 9293.68s]  That doesn't prevent any of the substance being conveyed, does it?
[9293.68s -> 9294.68s]  No.
[9294.68s -> 9296.80s]  So what's at work here in your view?
[9296.80s -> 9300.04s]  Why is this information not coming back up to you?
[9300.04s -> 9305.36s]  You've got Cartwright King through Simon King advising on the one hand.
[9305.36s -> 9313.04s]  You've got Bond Dickinson advising here that the real worry is Gareth Jenkins on the other.
[9313.04s -> 9329.40s]  My hesitation on this is that I now know much more than I did at the time, so I'm now aware
[9329.40s -> 9334.32s]  that Mr. Jenkins had never been briefed as an expert witness.
[9334.32s -> 9341.32s]  I don't know whether this is suggesting that that was part of the real worry, or whether
[9341.32s -> 9350.58s]  the worry that is expressed at point six is what the organization knew already, which
[9350.58s -> 9355.60s]  was non-disclosure issues because the Can't Write King review had started by this stage.
[9355.60s -> 9361.76s]  But I'm afraid I can't help you why more of that wasn't shared.
[9361.76s -> 9362.76s]  Thank you.
[9362.76s -> 9368.88s]  The second site interim report was in fact published on the 8th of July.
[9368.88s -> 9375.20s]  The reference we needn't show it at the moment is poll 3029744.
[9375.20s -> 9380.88s]  And it referred to three bugs in Horizon, the receipts and payments mismatch bug, the
[9380.88s -> 9387.92s]  suspense account bug, and although it didn't name it, the calendar square or Falkirk bug.
[9387.92s -> 9412.34s]  If we just look at your witness statement, please, it's paragraph 253F on page 111.
[9412.34s -> 9427.70s]  page 111, please. And if we scroll down to F, please. You say, I was not made aware between
[9427.70s -> 9435.98s]  joining the post office in 2007 and early 2012 that any bugs, errors, or defects had
[9435.98s -> 9441.72s]  been identified in Legacy Horizon or Horizon Online. And then you say, the first that I
[9441.72s -> 9447.60s]  knew that any bugs errors or defects have been discovered was in mid 2013 when I was
[9447.60s -> 9453.20s]  made aware for the first time that the bug known as the calendar square problem in legacy
[9453.20s -> 9460.36s]  horizon and two bugs in horizon online receipts and payments mismatch and local suspense account
[9460.36s -> 9461.36s]  problem.
[9461.36s -> 9466.92s]  Can I ask for your assistance on what your evidence means here?
[9466.92s -> 9475.92s]  You state in the first sentence that you were not aware until early 2012 that any bugs had
[9475.92s -> 9478.52s]  been identified in either system.
[9478.52s -> 9483.40s]  Then in the second sentence, you say the first that I knew that any bugs had been discovered
[9483.40s -> 9484.40s]  was in mid 2013.
[9484.40s -> 9485.40s]  I'm sorry.
[9485.40s -> 9486.40s]  They appear contradictory.
[9486.40s -> 9487.40s]  Yes, they do.
[9487.40s -> 9488.40s]  I'm sorry.
[9488.40s -> 9489.40s]  So sorry.
[9489.40s -> 9494.84s]  So, what's the correct answer to the question?
[9494.84s -> 9497.84s]  When did you first know of any bugs, errors, or defects?
[9497.84s -> 9498.84s]  2013.
[9498.84s -> 9507.84s]  So why did you say here that it was early 2012 that you were made aware that bugs, errors,
[9507.84s -> 9518.28s]  and defects had been identified in Horizon?
[9518.28s -> 9526.52s]  I don't know, because the only thing I can think is an explanation is that the local
[9526.52s -> 9533.20s]  suspense bug was, I think, drawn to the post office's attention in 2012, but nobody knew
[9533.20s -> 9540.72s]  about that, because it had been referred to the MBSC, and I suspect this is just a mistake.
[9540.72s -> 9544.44s]  So the correct evidence is that represented in the second sentence?
[9544.44s -> 9545.44s]  Yes.
[9545.44s -> 9546.44s]  Is that right?
[9546.44s -> 9547.44s]  And the first is just a mistake?
[9547.44s -> 9548.44s]  Yes.
[9548.44s -> 9549.44s]  Yeah.
[9549.44s -> 9562.92s]  Can we turn to what was said in the run-up to the second site report about the post office's
[9562.92s -> 9568.00s]  position on the three bugs?
[9568.00s -> 9592.80s]  Can we look, please, at poll 00105632?
[9592.80s -> 9600.84s]  And you see this is an email to you and others from Alwin Lyons.
[9600.84s -> 9603.00s]  Read the James brief.
[9603.00s -> 9608.96s]  And she says, Paula, the only thing that's not in the brief for James is our move away
[9608.96s -> 9615.80s]  from, quote, there are no bugs in Horizon to there are known bugs in every computer
[9615.80s -> 9621.92s]  system this size, but they're found and put right and no sub-postmaster is disadvantaged
[9621.92s -> 9627.48s]  by them. It would be good to be able to go on and say, or has been successfully, wrongfully
[9627.48s -> 9634.52s]  suspended or prosecuted.
[9634.52s -> 9646.44s]  Did this represent a move, a shift in position, preemptively before the second site report
[9646.44s -> 9657.96s]  from there are no bugs in horizon to the then altered position that's set out by Alwyn Lyons?
[9657.96s -> 9668.32s]  It was, so firstly, I don't recall, and I think Alwyn said this on Tuesday as well,
[9668.32s -> 9675.84s]  that there had been a line, as it were, that there were no bugs in horizon. I don't remember,
[9675.84s -> 9683.36s]  and I haven't seen it anywhere as being used, but it would be completely right for the post
[9683.36s -> 9686.72s]  office if that was a line that it had used to correct it.
[9686.72s -> 9687.72s]  I mean, if that's right.
[9687.72s -> 9691.36s]  It wouldn't have been done preemptively because of the second site report.
[9691.36s -> 9694.66s]  It would just have been done because it was the right thing to do.
[9694.66s -> 9703.06s]  If that's right, that there hadn't been a position adopted by the post office of there
[9703.06s -> 9704.82s]  are no bugs in Horizon.
[9704.82s -> 9707.26s]  This email makes no sense.
[9707.26s -> 9709.06s]  No, I agree.
[9709.06s -> 9712.84s]  And they're written as lines in inverted commas.
[9712.84s -> 9716.82s]  I can only assume that this came from Mark Davies and the communications team.
[9716.82s -> 9724.34s]  I don't recall having a conversation about that.
[9724.34s -> 9731.90s]  You tell us in your witness statement that its paragraph 389 on page 183, no need to
[9731.90s -> 9735.80s]  to turn it up, that after the receipts and payments
[9735.80s -> 9740.98s]  mismatch bug and the local suspense account bug
[9740.98s -> 9745.20s]  came to light, as you put it, in May 23,
[9745.20s -> 9748.80s]  we no longer lived in a world where no bugs had
[9748.80s -> 9751.32s]  been found in the system.
[9751.32s -> 9754.72s]  That was your position and the post office's position
[9754.72s -> 9759.60s]  up until at least May 2013, that no bugs had been found
[9759.60s -> 9761.68s]  in the system.
[9761.68s -> 9765.48s]  wasn't it?
[9765.48s -> 9766.52s]  I think that's right.
[9766.52s -> 9769.00s]  What I'm trying to say here is that I don't remember seeing
[9769.00s -> 9772.08s]  it as a line in communications.
[9772.08s -> 9779.24s]  But as soon as we had discovered these bugs, if we
[9779.24s -> 9781.96s]  had been saying publicly that there were no bugs, clearly
[9781.96s -> 9785.20s]  that needed to be corrected.
[9785.20s -> 9789.92s]  In any event, in May 2013, you no longer lived in a world
[9789.92s -> 9792.52s]  where no bugs have been found in the system.
[9792.52s -> 9793.34s]  Yes.
[9796.00s -> 9799.10s]  In your position as chief executive,
[9799.10s -> 9802.90s]  was that not very significant information?
[9805.88s -> 9809.72s]  We've got three bugs or had three bugs in the system.
[9814.12s -> 9815.76s]  It is significant.
[9815.76s -> 9818.40s]  At that stage, it doesn't make any difference,
[9818.40s -> 9821.00s]  but there were only two that I knew of.
[9821.00s -> 9824.80s]  And what was very important to me,
[9824.80s -> 9826.82s]  and the inquiry can see this,
[9826.82s -> 9829.92s]  from emails that I sent and work that I did,
[9829.92s -> 9833.00s]  was that, and I can remember saying to our alliance actually
[9833.00s -> 9835.54s]  that I wanted to demonstrate leadership in this case,
[9835.54s -> 9837.86s]  this was around the local suspense bug,
[9837.86s -> 9841.20s]  that it was, that I wanted reassurance
[9841.20s -> 9844.16s]  that Fujitsu had done as it said,
[9844.16s -> 9847.40s]  which is that all affected post offices had been identified,
[9847.40s -> 9855.36s]  that we had looked at whatever the shortfalls were, that post offices had not been held
[9855.36s -> 9859.72s]  accountable for any of those, or that they were held accountable for any losses, that
[9859.72s -> 9865.44s]  they were all written to, which they were. And so my priority was to make sure that it
[9865.44s -> 9871.56s]  was dealt with. In terms of the second bug, the receipts and payments mismatch bug, that
[9871.56s -> 9876.84s]  I was told had been dealt with, and again, it's in documentation, that the post offices
[9876.84s -> 9881.16s]  affected by that had been written to as well.
[9881.16s -> 9886.24s]  Ms. Meddles, you tell us time and time again in your witness statement that up until May
[9886.24s -> 9893.96s]  2013, you had been told time and time again that there were no bugs in Horizon.
[9893.96s -> 9897.60s]  You'd been reassured it was the basis on which you'd operated.
[9897.60s -> 9900.04s]  Isn't this world changing information for you?
[9900.04s -> 9901.04s]  Yes.
[9901.04s -> 9902.40s]  In fact, there were bugs.
[9902.40s -> 9906.44s]  the previous assurances that I've been given were false?
[9906.44s -> 9913.44s]  Yes, it was information that changed. The way that I was told about those two bugs was
[9913.44s -> 9922.88s]  that they were, and I'm not referring to previous exchanges elsewhere, but they were incidents
[9922.88s -> 9928.68s]  that had been dealt with. They were bugs that had been resolved, and that they were red
[9928.68s -> 9934.24s]  herrings to the work, and they didn't affect any of the branches that Second Sight were
[9934.24s -> 9941.04s]  looking at, and the branches that had been affected had been properly supported by the
[9941.04s -> 9945.80s]  post office and the cases had been dealt with.
[9945.80s -> 9951.32s]  What's the answer to my direct question, that you had been told repeatedly for six years
[9951.32s -> 9960.16s]  since you joined post office, that there were no bugs in Horizon. That mantra is key to
[9960.16s -> 9964.52s]  what you say in your witness statement as to what you did as managing director and previously
[9964.52s -> 9970.84s]  as network director. It was the consistent message from the business. And then you're
[9970.84s -> 9974.56s]  told, no, in fact, there are bugs in the system, and you're telling us, but they don't matter,
[9974.56s -> 9983.32s]  as red herringbugs. Did you explore why you had been given false information in the past?
[9983.32s -> 9991.86s]  I think to be really clear on this, because it's important, I was told that what I was
[9991.86s -> 9999.40s]  told was about Horizon, and I'm not splitting hairs on this, I was told that Horizon, that
[9999.40s -> 10005.18s]  where cases had gone to court, the courts had found in favor of Horizon, that where
[10005.18s -> 10013.26s]  issues had been raised, I knew when I say my statement that there were always glitches
[10013.26s -> 10019.40s]  and issues with the system. I knew that from having visited branches, whether it was the
[10019.40s -> 10022.68s]  egg timer issue or the blue screens or network failures or whatever.
[10022.68s -> 10029.68s]  Let's go back to page 111 of your witness statement.
[10052.68s -> 10069.60s]  F, you say, I was not made aware between joining the post office in 2007 and, you told us this
[10069.60s -> 10076.48s]  should read, mid 2013, that any bugs had been identified in Legacy Horizon or Horizon Online.
[10076.48s -> 10080.08s]  The first I knew that any bugs had been discovered was mid 2013.
[10080.08s -> 10081.08s]  Yes.
[10081.08s -> 10082.08s]  Yes.
[10082.08s -> 10084.68s]  Wasn't it world-changing information that, in fact...
[10084.68s -> 10086.76s]  I'm sorry, yes, I'm not...
[10088.76s -> 10094.16s]  What I'm not getting across clearly enough is that this was important,
[10094.16s -> 10099.20s]  but I was reassured at the same time that these bugs had been dealt with.
[10099.20s -> 10101.64s]  And is that reassurance anywhere in writing?
[10104.32s -> 10106.76s]  Or is it one of these corridor conversations?
[10107.96s -> 10108.96s]  I...
[10108.96s -> 10119.88s]  I think it is in writing. In the second site interim report, both of them are detailed,
[10119.88s -> 10128.08s]  and it explains, I think, pretty much what I said in more detail, but that post offices
[10128.08s -> 10132.92s]  that the, this I now know was wrong, that the system had identified the issues, that
[10132.92s -> 10138.40s]  they had been fixed, the post offices had been informed, and nobody had been held accountable
[10138.40s -> 10144.62s]  for any losses and where surpluses were left in the hands of the postmasters.
[10144.62s -> 10150.52s]  Given that you'd been told before, you'd not been told before mid 2013 about any bugs
[10150.52s -> 10156.20s]  in the system and you were operating on the basis that there were none, on being told
[10156.20s -> 10161.20s]  that in fact the system did have bugs, would you not have wanted a watertight assurance
[10161.20s -> 10168.44s]  from Fujitsu, that there were no more bugs?
[10168.44s -> 10172.32s]  I should have asked for that.
[10172.32s -> 10176.98s]  Do I take the answer that you've just given to mean, yes, I would have wanted assurance,
[10176.98s -> 10178.42s]  but I didn't ask?
[10178.42s -> 10184.80s]  I had at this roughly about the same time, or maybe a month before, I'd had a conversation
[10184.80s -> 10186.48s]  with the chief executive of Fujitsu.
[10186.48s -> 10188.36s]  This is the Fort Knox conversation?
[10188.36s -> 10194.84s]  which have been evased around the allegations around what Mr. Rudkin had raised.
[10194.84s -> 10195.84s]  That's a separate issue.
[10195.84s -> 10199.64s]  It is a separate issue, but I'm not a technical expert, and I'm dealing with challenges to
[10199.64s -> 10211.28s]  the Horizon system, and I'm working within a context where I'm taking numbers of inputs.
[10211.28s -> 10218.44s]  I took these seriously and I accepted the explanations that I had been given and I
[10218.44s -> 10223.64s]  knew that those explanations had been based on, but again now this sounds very hollow
[10223.64s -> 10234.12s]  in hindsight, on work that had been done by Fujitsu.
[10234.12s -> 10249.04s]  Can we look please at poll 309, 0219?
[10249.04s -> 10256.36s]  This is the press statement that the post office put out on the publication of the interim
[10256.36s -> 10261.12s]  report.
[10261.12s -> 10270.12s]  If we scroll out a little bit, please, you'll see in the third paragraph and following,
[10270.12s -> 10274.36s]  it says, Chief Executive, you said as follows, yes?
[10274.36s -> 10276.32s]  Yes, yes.
[10276.32s -> 10279.00s]  Did you approve this statement?
[10279.00s -> 10280.44s]  I would generally.
[10280.44s -> 10285.16s]  There are occasions when I may not have been able to, but generally I wouldn't usually
[10285.16s -> 10288.36s]  put my name to something that I hadn't read.
[10288.36s -> 10298.52s]  In particular, where direct quotes are attributed to you in quotation marks.
[10298.52s -> 10308.78s]  We know that the post office had been informed of the receipts and payments mismatch bug
[10308.78s -> 10314.20s]  in September or October 2010.
[10314.20s -> 10322.16s]  We know that the suspense account of bug had been drawn to the post office's attention
[10322.16s -> 10327.72s]  as an operative problem by at least February 2013.
[10327.72s -> 10333.44s]  And we know that the calendar square or Falkirk bug had been drawn to the post office's attention
[10333.44s -> 10338.28s]  in 2006.
[10338.28s -> 10344.40s]  Do you know why this press statement did not acknowledge that the post office had known
[10344.40s -> 10357.20s]  about each of the three bugs referred to in the second site report for many years?
[10357.20s -> 10362.28s]  I don't remember having any conversation about that, no.
[10362.28s -> 10373.82s]  You will see that it instead concentrates upon the number of people using the system,
[10373.82s -> 10379.16s]  the number of branches, the number of transactions.
[10379.16s -> 10382.44s]  Yes.
[10382.44s -> 10388.76s]  Was that the mantra that the post office had used for many years to defend allegations
[10388.76s -> 10391.76s]  against Horizon?
[10391.76s -> 10400.16s]  It was a truth and it was an explanation that was overused, and I fully accept that now.
[10400.16s -> 10401.16s]  Thank you.
[10401.16s -> 10403.84s]  That's a convenient moment before we move to our next topic, sir.
[10403.84s -> 10409.36s]  Could I say, I think it's five past 12 now, could I say ten to two, please?
[10409.36s -> 10411.06s]  Ten to two.
[10411.06s -> 10412.06s]  Thank you.
[10412.06s -> 10414.06s]  Thank you very much.
